,tenure,TotalCharges,OnlineSecurity,OnlineBackup,TechSupport,Contract,Churn
5667,4,91.4,No internet service,No internet service,No internet service,Month-to-month,No
2836,49,4920.55,No,Yes,No,Month-to-month,No
1530,2,190.05,No,No,Yes,Month-to-month,Yes
4556,2,116.65,No,No,No,Month-to-month,Yes
5621,3,229.5,No,No,No,Month-to-month,Yes
2955,7,635.6,No,No,No,Month-to-month,Yes
6468,14,641.25,No,No,No,One year,No
2908,18,1742.95,Yes,No,No,Month-to-month,Yes
6825,27,2272.8,No,No,No,Month-to-month,No
5366,66,3996.8,Yes,No,No,Two year,No
1874,43,3574.5,Yes,Yes,Yes,Two year,No
2370,69,7806.5,Yes,Yes,Yes,Two year,No
1769,71,6669.45,No,Yes,No,Month-to-month,No
5114,50,4113.7,Yes,Yes,No,Month-to-month,No
5577,51,1007.8,No internet service,No internet service,No internet service,One year,No
1983,27,2204.35,Yes,No,Yes,One year,No
531,70,1360.25,No internet service,No internet service,No internet service,Two year,No
5039,2,195.05,No,No,No,Month-to-month,Yes
5317,6,267.35,No,No,Yes,Month-to-month,Yes
6082,59,6039.9,No,Yes,No,Month-to-month,Yes
5330,10,934.1,No,Yes,Yes,Month-to-month,Yes
2163,29,3004.15,No,No,No,Month-to-month,Yes
731,5,92.75,No internet service,No internet service,No internet service,Month-to-month,No
2339,21,1973.75,No,No,No,Month-to-month,Yes
6876,62,6613.65,Yes,No,Yes,One year,No
2232,36,754.5,No internet service,No internet service,No internet service,Two year,No
6157,3,64.55,No internet service,No internet service,No internet service,Month-to-month,Yes
2926,69,8182.85,Yes,Yes,Yes,Two year,No
1255,2,59.05,No,No,Yes,Month-to-month,Yes
2104,8,627.4,No,No,No,Month-to-month,Yes
5144,3,82.85,No,Yes,No,Month-to-month,No
3879,1,45.75,No,No,No,Month-to-month,Yes
898,12,1120.95,Yes,No,Yes,Month-to-month,Yes
428,18,1395.05,No,No,No,Month-to-month,No
4857,20,505.95,No,No,No,Month-to-month,No
2893,22,1254.7,Yes,Yes,No,Month-to-month,Yes
5509,5,221.7,No,No,No,Month-to-month,Yes
6371,24,553.0,No internet service,No internet service,No internet service,Two year,No
1222,64,4447.75,Yes,No,Yes,Two year,No
5352,26,2537.0,No,No,Yes,Month-to-month,No
6032,68,7299.65,No,Yes,No,Month-to-month,Yes
4038,60,1093.0,No internet service,No internet service,No internet service,Two year,No
4609,25,1466.1,No,No,Yes,One year,No
3176,51,1281.25,No internet service,No internet service,No internet service,Two year,No
1096,7,580.1,Yes,No,Yes,Month-to-month,No
2072,39,779.2,No internet service,No internet service,No internet service,One year,No
6358,72,5886.85,Yes,No,Yes,Two year,No
3842,27,2462.55,No,No,No,Month-to-month,No
5940,56,4793.8,No,Yes,Yes,One year,No
1788,57,1134.25,No internet service,No internet service,No internet service,Two year,No
5101,17,1672.1,Yes,Yes,Yes,Month-to-month,No
6549,1,56.25,No,No,No,Month-to-month,Yes
528,35,686.95,No internet service,No internet service,No internet service,Two year,No
3143,13,930.05,No,Yes,Yes,Month-to-month,No
192,69,1375.4,No internet service,No internet service,No internet service,Two year,No
6251,1,19.25,No internet service,No internet service,No internet service,Month-to-month,No
1126,7,544.55,No,No,No,Month-to-month,Yes
2689,72,8277.05,Yes,Yes,Yes,Two year,No
2707,3,293.65,No,No,Yes,Month-to-month,Yes
6890,53,3357.9,No,No,No,One year,No
304,38,3141.7,No,Yes,No,Month-to-month,No
2957,4,324.2,No,Yes,No,Month-to-month,No
1292,62,5193.2,No,Yes,Yes,Two year,No
70,1,49.05,No,No,Yes,Month-to-month,No
5978,46,3847.6,Yes,Yes,No,Month-to-month,No
4394,19,1144.6,No,No,Yes,Month-to-month,No
2615,72,6697.2,Yes,Yes,Yes,Two year,No
831,38,963.95,No internet service,No internet service,No internet service,Two year,No
3075,71,7472.15,No,Yes,No,One year,No
1456,16,1534.75,No,Yes,No,Month-to-month,Yes
4287,66,6975.25,No,No,Yes,One year,Yes
238,11,1120.3,No,Yes,No,Month-to-month,Yes
92,66,5714.25,Yes,No,Yes,Two year,No
2687,28,2626.15,No,No,Yes,Month-to-month,No
6256,1,35.05,No,No,No,Month-to-month,Yes
6115,72,7854.9,Yes,Yes,Yes,Two year,No
5515,18,309.25,No internet service,No internet service,No internet service,Two year,No
4304,49,918.7,No internet service,No internet service,No internet service,One year,No
5187,41,4133.95,No,Yes,No,Month-to-month,No
4417,1,70.45,No,No,No,Month-to-month,Yes
1001,27,1893.95,No,No,No,Month-to-month,Yes
3857,5,93.55,No internet service,No internet service,No internet service,Month-to-month,No
6750,43,1463.7,Yes,No,No,One year,No
2377,47,2654.05,Yes,Yes,No,Month-to-month,No
3758,1,49.55,Yes,No,No,Month-to-month,No
3532,15,892.65,No,No,No,Month-to-month,Yes
3554,7,472.65,No,No,No,Month-to-month,No
1532,14,300.4,No internet service,No internet service,No internet service,Month-to-month,No
2410,43,3398.9,No,Yes,No,Month-to-month,No
4254,29,2467.1,Yes,Yes,No,Month-to-month,Yes
411,46,1066.15,No internet service,No internet service,No internet service,One year,No
3296,24,1233.25,No,No,No,Month-to-month,No
6757,51,3014.65,Yes,Yes,No,One year,Yes
6503,70,4138.7,No,Yes,Yes,One year,No
5171,12,505.95,No,No,No,Month-to-month,No
5866,3,68.35,No internet service,No internet service,No internet service,Month-to-month,No
3322,9,762.5,No,No,No,Month-to-month,Yes
3231,15,1287.85,Yes,Yes,Yes,Month-to-month,No
6423,72,1784.5,No internet service,No internet service,No internet service,Two year,No
5361,4,84.75,No internet service,No internet service,No internet service,One year,No
4397,72,7556.9,Yes,Yes,Yes,Two year,No
633,10,176.3,No internet service,No internet service,No internet service,One year,No
498,5,131.05,No,Yes,No,Month-to-month,Yes
2463,8,659.45,No,No,No,Month-to-month,No
3792,26,2351.8,No,No,No,Month-to-month,Yes
637,68,4911.35,Yes,Yes,Yes,Two year,No
720,2,34.75,No internet service,No internet service,No internet service,One year,No
288,8,606.55,No,Yes,No,Month-to-month,Yes
757,3,57.2,No internet service,No internet service,No internet service,Month-to-month,No
2543,13,1230.25,Yes,No,No,Month-to-month,Yes
4762,34,2275.1,No,No,No,Month-to-month,No
4162,72,4575.35,Yes,Yes,Yes,Two year,No
4207,21,1011.5,Yes,No,Yes,Month-to-month,No
4058,40,3303.05,No,No,Yes,Month-to-month,Yes
596,16,916.15,Yes,Yes,Yes,Two year,No
5465,26,1553.2,No,Yes,No,One year,No
1068,49,4853.75,No,Yes,No,Month-to-month,Yes
1942,46,908.15,No internet service,No internet service,No internet service,Two year,No
1647,11,868.5,No,No,No,Month-to-month,Yes
3378,72,6033.1,Yes,Yes,Yes,Two year,No
1700,47,943.0,No internet service,No internet service,No internet service,Two year,No
5646,1,19.25,No internet service,No internet service,No internet service,Month-to-month,Yes
4159,59,5496.9,Yes,Yes,No,Month-to-month,No
2697,71,6365.35,Yes,Yes,Yes,Two year,No
4373,25,520.1,No internet service,No internet service,No internet service,One year,No
3966,72,7919.8,Yes,Yes,Yes,Two year,No
6854,2,32.7,No internet service,No internet service,No internet service,Month-to-month,No
86,35,2215.45,Yes,No,No,One year,No
2308,71,7288.4,Yes,Yes,No,One year,No
4741,15,1285.05,No,Yes,No,Month-to-month,No
3827,2,34.8,No internet service,No internet service,No internet service,One year,No
2847,26,2015.8,No,Yes,No,Month-to-month,No
1029,3,273.75,Yes,No,Yes,Month-to-month,Yes
3656,49,2398.4,No,Yes,No,Two year,No
3786,27,1929.0,No,No,No,Month-to-month,No
2144,3,147.75,No,No,Yes,Month-to-month,No
6573,45,2264.5,No,Yes,Yes,One year,No
1200,37,3778.0,No,Yes,Yes,One year,No
2025,72,8477.7,Yes,Yes,Yes,Two year,No
621,62,5755.8,Yes,Yes,No,One year,No
6402,54,3246.45,No,Yes,No,Two year,No
566,15,1667.25,Yes,No,Yes,One year,No
1837,1,20.05,No internet service,No internet service,No internet service,Month-to-month,Yes
1334,1,25.2,No,No,No,Month-to-month,Yes
5690,72,4390.25,Yes,No,Yes,Two year,No
6697,30,2427.1,Yes,No,No,One year,No
2099,40,3126.85,No,No,Yes,Month-to-month,No
6695,71,5224.95,Yes,Yes,Yes,Two year,No
2644,18,600.0,No,Yes,No,Month-to-month,Yes
5501,17,382.8,No,No,No,Month-to-month,No
1688,40,804.85,No internet service,No internet service,No internet service,Two year,No
745,72,7882.25,No,Yes,Yes,Two year,No
5398,2,39.3,No internet service,No internet service,No internet service,Month-to-month,No
2820,53,1301.9,No internet service,No internet service,No internet service,One year,No
2187,71,8564.75,Yes,Yes,Yes,Two year,No
195,20,1901.65,Yes,Yes,Yes,Month-to-month,No
1152,7,370.4,No,No,No,Month-to-month,No
2650,15,1302.65,Yes,No,No,Month-to-month,No
4633,72,1709.15,No internet service,No internet service,No internet service,Two year,No
802,39,903.8,No internet service,No internet service,No internet service,Two year,No
4303,45,1121.05,No internet service,No internet service,No internet service,Two year,No
2350,5,424.75,No,No,No,Month-to-month,No
6662,47,1798.65,Yes,Yes,Yes,One year,No
5661,4,63.0,No internet service,No internet service,No internet service,Month-to-month,No
2068,47,4669.2,Yes,Yes,Yes,Month-to-month,No
5434,33,3275.15,Yes,No,No,Month-to-month,No
644,15,394.85,No internet service,No internet service,No internet service,Month-to-month,No
6222,66,5976.9,No,Yes,No,Month-to-month,No
5272,6,521.3,No,Yes,No,Month-to-month,Yes
3892,17,340.35,No internet service,No internet service,No internet service,Month-to-month,No
4884,41,3848.0,No,No,No,Month-to-month,No
120,56,5515.45,No,No,No,One year,No
1777,28,1505.15,No,No,Yes,Month-to-month,No
6661,72,3784.0,No,Yes,Yes,Two year,No
5656,1,49.75,Yes,No,No,Month-to-month,No
2135,56,5893.95,Yes,Yes,No,Month-to-month,No
3951,70,5536.5,Yes,Yes,Yes,Two year,No
5768,44,3974.15,No,No,No,One year,No
134,2,81.25,No,No,No,Month-to-month,Yes
6216,58,4230.25,Yes,Yes,Yes,Two year,No
6617,48,3887.85,Yes,Yes,No,One year,No
3095,11,888.75,No,No,No,Month-to-month,No
2559,72,8425.3,Yes,Yes,Yes,Two year,No
62,72,2962.0,Yes,Yes,No,Two year,No
4587,26,2196.45,No,No,Yes,Month-to-month,No
6129,52,2020.9,Yes,No,No,Month-to-month,No
3487,52,1078.75,No internet service,No internet service,No internet service,Two year,No
3358,27,1461.45,Yes,No,Yes,Month-to-month,No
3771,1,79.05,No,No,No,Month-to-month,Yes
679,45,3775.85,No,Yes,No,Month-to-month,No
4486,61,5500.6,No,No,No,Month-to-month,No
741,2,137.1,Yes,No,No,Month-to-month,No
1211,11,740.8,No,No,Yes,Month-to-month,Yes
2170,21,1258.35,Yes,No,Yes,One year,No
3689,1,71.15,No,No,No,Month-to-month,Yes
6215,6,560.6,No,Yes,No,Month-to-month,Yes
567,71,5357.75,Yes,Yes,Yes,Two year,No
1873,72,5011.15,Yes,Yes,No,Two year,No
4295,67,4119.4,Yes,Yes,Yes,One year,No
2596,21,1215.45,No,Yes,No,One year,No
1717,72,1421.9,No internet service,No internet service,No internet service,Two year,No
1392,33,620.55,No internet service,No internet service,No internet service,One year,No
5282,3,292.85,No,No,No,Month-to-month,Yes
3544,31,3019.5,No,Yes,No,Month-to-month,Yes
3613,55,2743.45,No,No,No,One year,No
489,1,74.35,No,No,No,Month-to-month,Yes
4022,10,163.2,No internet service,No internet service,No internet service,Month-to-month,No
690,1,20.45,No internet service,No internet service,No internet service,Month-to-month,No
5019,14,1273.3,No,No,No,Month-to-month,No
602,66,4859.25,No,No,No,One year,No
1911,72,7657.4,Yes,Yes,Yes,Two year,No
7040,11,346.45,Yes,No,No,Month-to-month,No
4525,32,2979.3,Yes,Yes,No,Month-to-month,No
6365,7,700.85,No,No,No,Month-to-month,Yes
5829,31,1848.8,Yes,No,Yes,One year,No
3235,61,2696.55,Yes,Yes,Yes,One year,No
2366,1,70.15,No,No,No,Month-to-month,Yes
1187,71,7413.55,No,No,No,Two year,No
274,1,70.6,No,No,No,Month-to-month,Yes
3978,3,237.65,No,No,No,Month-to-month,No
1361,4,330.05,No,Yes,No,Month-to-month,Yes
6271,27,2220.1,Yes,No,No,One year,No
1526,3,293.15,No,Yes,No,Month-to-month,No
3312,1,20.3,No internet service,No internet service,No internet service,Month-to-month,No
3023,72,6339.3,Yes,Yes,Yes,Two year,No
6941,61,3088.75,Yes,Yes,Yes,One year,No
4246,68,7467.5,Yes,Yes,No,Two year,No
4617,2,39.85,No internet service,No internet service,No internet service,Month-to-month,No
6619,9,238.15,No internet service,No internet service,No internet service,Month-to-month,No
1337,31,609.1,No internet service,No internet service,No internet service,Two year,No
945,3,215.8,No,No,No,Month-to-month,Yes
6787,35,3782.4,No,Yes,Yes,Month-to-month,No
2250,15,302.45,No internet service,No internet service,No internet service,One year,No
5783,1,89.3,No,No,No,Month-to-month,Yes
3473,42,4512.7,No,No,Yes,Month-to-month,Yes
3044,1,45.4,No,No,No,Month-to-month,Yes
2346,71,6849.4,No,Yes,No,Two year,No
68,50,930.9,No internet service,No internet service,No internet service,Two year,No
5152,55,1388.0,No internet service,No internet service,No internet service,Two year,No
4996,47,3496.3,Yes,Yes,Yes,Two year,No
1598,27,520.55,No internet service,No internet service,No internet service,Two year,No
3309,25,527.5,No internet service,No internet service,No internet service,One year,No
5059,36,3615.6,No,Yes,No,Month-to-month,Yes
4560,9,767.9,No,No,No,One year,No
1503,45,4735.35,No,No,No,One year,No
4365,63,5034.05,No,No,Yes,Two year,No
150,8,564.35,No,No,Yes,Month-to-month,No
4310,72,4566.5,Yes,Yes,Yes,Two year,No
2086,17,1400.85,No,No,No,Month-to-month,Yes
6417,51,3807.35,Yes,No,No,Month-to-month,Yes
2259,8,161.65,No internet service,No internet service,No internet service,Two year,No
3049,3,58.85,No internet service,No internet service,No internet service,Month-to-month,Yes
5804,71,1663.5,No internet service,No internet service,No internet service,Two year,No
5424,65,5968.4,Yes,Yes,No,Two year,No
6793,72,7767.25,Yes,Yes,No,Two year,No
859,72,4719.75,Yes,Yes,Yes,Two year,No
6196,69,7430.75,Yes,Yes,No,Two year,No
2718,62,2618.3,Yes,Yes,Yes,Two year,No
4490,54,6431.05,Yes,Yes,Yes,One year,No
3193,3,52.0,No internet service,No internet service,No internet service,Two year,No
366,23,1406.0,Yes,No,No,Month-to-month,No
1432,35,739.9,No internet service,No internet service,No internet service,Month-to-month,No
4923,52,2535.55,Yes,No,No,Month-to-month,No
1779,2,168.5,Yes,Yes,No,Month-to-month,No
4280,64,1274.05,No internet service,No internet service,No internet service,Two year,No
3258,1,24.4,No,No,No,Month-to-month,No
1818,60,4453.3,No,No,No,Month-to-month,No
6884,3,99.75,No,No,No,Month-to-month,Yes
841,72,7589.8,Yes,No,No,Two year,No
1189,3,256.75,No,No,No,Month-to-month,No
175,34,780.2,No internet service,No internet service,No internet service,Month-to-month,No
3684,43,3161.4,No,No,No,Month-to-month,No
617,66,6976.75,No,No,Yes,One year,No
2093,10,223.9,No internet service,No internet service,No internet service,Month-to-month,No
6535,35,3626.1,No,Yes,No,One year,Yes
4092,1,20.25,No internet service,No internet service,No internet service,Month-to-month,No
3717,29,1323.7,No,No,No,Month-to-month,No
1030,50,3557.7,No,No,No,Month-to-month,No
3671,1,75.1,No,No,No,Month-to-month,Yes
300,23,1509.8,No,No,No,One year,No
1472,13,896.75,No,No,No,Month-to-month,Yes
283,68,3687.75,Yes,No,No,Month-to-month,No
2028,15,331.6,No internet service,No internet service,No internet service,Two year,No
3491,44,3250.45,No,Yes,Yes,One year,No
6111,40,3532.25,No,No,No,Month-to-month,No
5582,48,1183.05,No internet service,No internet service,No internet service,Two year,No
1813,1,75.5,No,No,Yes,Month-to-month,No
1271,53,2879.2,Yes,Yes,Yes,One year,No
2716,19,839.65,No,No,No,Month-to-month,No
4545,1,44.15,No,No,No,Month-to-month,No
3646,39,3219.75,No,No,Yes,One year,No
2313,43,4451.85,No,No,Yes,One year,No
2008,4,341.45,No,No,Yes,Month-to-month,Yes
4231,71,5708.2,Yes,Yes,Yes,Two year,No
2642,47,4045.65,No,No,No,Month-to-month,Yes
3265,29,1974.8,No,No,No,Month-to-month,Yes
6415,58,2540.1,Yes,Yes,No,One year,No
3796,15,679.55,No,No,No,Month-to-month,Yes
6917,72,6052.25,Yes,Yes,No,Two year,No
3194,43,2342.2,No,Yes,No,Month-to-month,Yes
99,25,2514.5,No,Yes,No,Month-to-month,Yes
5087,2,41.85,No internet service,No internet service,No internet service,Month-to-month,No
744,5,202.15,No,No,No,Month-to-month,No
6513,15,867.1,No,No,Yes,Month-to-month,No
480,11,225.75,No internet service,No internet service,No internet service,Two year,No
4650,37,911.6,No internet service,No internet service,No internet service,Month-to-month,No
6839,11,1129.75,No,No,No,Month-to-month,Yes
4962,17,1215.8,Yes,Yes,No,Month-to-month,No
1157,62,5936.55,No,Yes,No,One year,No
1437,27,1291.35,No,No,No,Month-to-month,No
2414,25,507.9,No internet service,No internet service,No internet service,One year,No
4100,50,1013.2,No internet service,No internet service,No internet service,Two year,No
402,69,7007.6,No,No,No,Month-to-month,Yes
2195,28,672.2,No internet service,No internet service,No internet service,One year,No
949,35,759.35,No internet service,No internet service,No internet service,Two year,No
3781,29,529.5,No internet service,No internet service,No internet service,One year,No
2067,65,6792.45,No,Yes,No,One year,No
4769,35,666.0,No internet service,No internet service,No internet service,One year,No
4918,51,1086.75,No internet service,No internet service,No internet service,Two year,No
668,4,191.05,No,No,No,Month-to-month,Yes
218,65,5324.5,No,Yes,Yes,Two year,No
1962,23,2292.75,Yes,No,No,One year,No
3010,38,3162.65,Yes,No,No,Month-to-month,No
3519,43,3645.6,No,No,No,Month-to-month,No
2213,12,274.7,No internet service,No internet service,No internet service,Two year,No
2633,65,6643.5,Yes,Yes,Yes,One year,No
4077,14,1346.3,No,No,No,Month-to-month,No
3555,20,1734.5,No,No,No,Month-to-month,Yes
4708,56,3346.8,Yes,Yes,No,Two year,No
4657,42,1097.15,No,No,No,Month-to-month,No
2145,11,818.45,No,No,No,Month-to-month,No
777,2,184.65,No,Yes,No,Month-to-month,Yes
2434,3,60.65,No internet service,No internet service,No internet service,Month-to-month,No
4536,1,69.35,No,No,No,Month-to-month,Yes
3909,11,223.15,No internet service,No internet service,No internet service,Two year,No
4643,3,209.9,No,No,Yes,Month-to-month,No
1491,1,19.55,No internet service,No internet service,No internet service,Month-to-month,No
2917,68,1303.25,No internet service,No internet service,No internet service,Two year,No
5780,53,1068.15,No internet service,No internet service,No internet service,One year,No
6405,60,6176.6,Yes,No,No,One year,No
5265,66,6000.1,No,Yes,No,One year,No
4017,28,1654.45,Yes,No,No,One year,No
517,5,302.6,No,No,No,Month-to-month,No
4740,24,971.3,Yes,No,No,Month-to-month,Yes
6869,45,2319.8,No,Yes,Yes,One year,Yes
3822,6,518.75,No,Yes,No,Month-to-month,No
4818,64,5017.7,Yes,No,No,One year,No
6857,58,5305.05,No,Yes,No,Month-to-month,No
3340,5,446.05,No,No,No,Month-to-month,Yes
4878,31,1882.8,No,No,No,Month-to-month,No
568,35,3527.6,No,No,No,Month-to-month,Yes
360,5,83.75,No internet service,No internet service,No internet service,Month-to-month,No
3123,16,1205.5,No,No,No,Month-to-month,No
4574,72,7629.85,No,Yes,No,One year,No
6472,60,5811.8,Yes,Yes,No,One year,No
3025,67,1688.9,No internet service,No internet service,No internet service,Two year,No
759,72,6563.4,Yes,Yes,Yes,Two year,No
3590,50,943.1,No internet service,No internet service,No internet service,One year,No
6743,10,226.55,No internet service,No internet service,No internet service,Month-to-month,No
5714,4,384.5,No,Yes,No,Month-to-month,Yes
4663,4,321.75,No,No,No,Month-to-month,Yes
214,23,1975.85,No,No,No,Month-to-month,No
6837,6,497.6,No,No,No,Month-to-month,No
3833,12,827.05,No,No,No,Month-to-month,No
2858,10,252.75,No internet service,No internet service,No internet service,Month-to-month,No
4733,12,959.9,Yes,Yes,No,Month-to-month,No
4078,22,1544.05,Yes,No,Yes,One year,Yes
3148,47,3545.1,Yes,No,No,Month-to-month,No
1473,24,2407.3,No,No,No,Month-to-month,Yes
2244,34,2088.75,Yes,Yes,Yes,One year,Yes
725,9,204.55,No internet service,No internet service,No internet service,Month-to-month,No
3995,28,2068.55,Yes,No,No,Month-to-month,Yes
49,69,4254.1,Yes,No,Yes,Two year,No
6406,39,1905.4,No,No,No,Month-to-month,No
887,27,2857.6,Yes,Yes,No,One year,No
6159,2,38.25,No internet service,No internet service,No internet service,One year,No
5033,1,19.4,No internet service,No internet service,No internet service,Month-to-month,No
6357,65,5769.6,Yes,Yes,No,One year,Yes
516,28,1546.3,Yes,No,Yes,One year,No
3000,12,1059.55,No,No,No,Month-to-month,Yes
139,1,70.45,No,No,No,Month-to-month,Yes
3003,27,2180.55,No,No,Yes,Month-to-month,Yes
3979,66,1672.35,No internet service,No internet service,No internet service,Two year,No
6400,72,4265.0,Yes,Yes,No,Two year,No
6446,58,5125.75,Yes,Yes,Yes,One year,No
463,7,673.25,No,Yes,No,Month-to-month,Yes
4329,17,1607.2,Yes,No,No,Month-to-month,Yes
1233,70,1685.9,No internet service,No internet service,No internet service,Two year,No
594,1,45.6,No,No,No,Month-to-month,No
450,64,1642.75,No internet service,No internet service,No internet service,One year,No
3768,55,4266.4,No,Yes,No,Month-to-month,No
3214,51,3974.7,No,Yes,No,One year,No
5798,5,474.8,No,No,No,Month-to-month,Yes
312,43,4895.1,Yes,Yes,Yes,Two year,No
3411,53,5549.4,No,Yes,No,Month-to-month,Yes
4245,63,1275.85,No internet service,No internet service,No internet service,Two year,No
6672,27,531.6,No internet service,No internet service,No internet service,Two year,No
451,22,1545.4,Yes,No,Yes,Month-to-month,No
5686,6,503.6,Yes,No,No,Month-to-month,Yes
890,31,2823.0,Yes,No,Yes,Month-to-month,No
2763,64,5135.35,Yes,Yes,No,Month-to-month,No
4320,71,1539.75,No internet service,No internet service,No internet service,One year,No
1506,68,3794.5,Yes,No,No,Two year,No
6909,1,53.55,Yes,Yes,No,Month-to-month,No
6587,64,6548.65,Yes,Yes,No,Month-to-month,No
999,2,132.4,No,No,Yes,Month-to-month,No
389,1,44.0,No,No,No,Month-to-month,No
2330,28,1802.15,No,Yes,No,Month-to-month,No
1476,2,36.8,No internet service,No internet service,No internet service,Month-to-month,No
2240,72,6448.85,Yes,Yes,Yes,Two year,No
6327,28,2483.65,No,Yes,Yes,One year,No
6337,55,5448.6,Yes,No,No,One year,No
5875,65,4386.2,Yes,Yes,No,Two year,No
5938,34,3625.2,No,Yes,Yes,Month-to-month,No
2775,53,3229.65,Yes,No,Yes,One year,Yes
1923,37,726.1,No internet service,No internet service,No internet service,Two year,No
758,15,1269.55,No,Yes,No,Month-to-month,Yes
6595,71,5832.65,Yes,No,Yes,Two year,No
6161,7,533.6,Yes,No,No,Month-to-month,No
1293,67,7530.8,No,Yes,Yes,Two year,No
6206,52,5088.4,No,Yes,Yes,Month-to-month,No
6913,69,7493.05,No,Yes,Yes,One year,No
3268,24,1821.2,Yes,No,No,One year,No
1907,7,571.05,Yes,Yes,Yes,Month-to-month,No
5641,39,958.45,No internet service,No internet service,No internet service,One year,No
4880,50,1067.65,No internet service,No internet service,No internet service,Two year,No
368,71,6962.85,No,No,No,One year,No
1937,13,265.3,No internet service,No internet service,No internet service,Two year,No
1151,1,18.85,No internet service,No internet service,No internet service,Month-to-month,No
4461,29,2607.6,No,No,Yes,Month-to-month,No
6666,27,2310.2,No,Yes,Yes,Month-to-month,No
6928,48,2651.2,No,Yes,No,One year,No
191,6,531.0,No,Yes,No,Month-to-month,Yes
6069,59,4541.9,No,Yes,Yes,One year,No
5762,30,3181.8,Yes,Yes,Yes,Month-to-month,No
174,32,654.55,No internet service,No internet service,No internet service,One year,No
1903,3,266.8,No,No,No,Month-to-month,No
1099,5,259.4,No,No,Yes,Month-to-month,No
4661,70,6293.2,Yes,Yes,Yes,Two year,No
2927,1,69.9,No,No,No,Month-to-month,No
2292,54,4965.0,Yes,Yes,Yes,Two year,No
6225,72,7548.6,Yes,Yes,Yes,Two year,No
6850,66,4378.9,Yes,Yes,Yes,Two year,No
3946,9,539.85,Yes,No,Yes,Month-to-month,Yes
6052,41,3126.45,Yes,Yes,Yes,Two year,No
1164,71,5831.2,Yes,Yes,Yes,Two year,No
3767,72,8240.85,Yes,No,Yes,Two year,No
4031,72,7982.5,No,Yes,Yes,Two year,No
2939,12,1029.75,No,Yes,Yes,Month-to-month,Yes
5241,55,3627.3,No,Yes,Yes,One year,No
4975,72,7346.2,No,Yes,No,Two year,No
1661,65,7082.45,No,Yes,No,Month-to-month,No
508,6,502.85,No,No,Yes,Month-to-month,Yes
166,4,273.0,No,No,No,Month-to-month,Yes
4266,62,6529.25,Yes,Yes,Yes,One year,Yes
4834,67,1620.45,No internet service,No internet service,No internet service,Two year,No
4240,8,773.65,No,Yes,No,Month-to-month,Yes
4742,72,1521.2,No internet service,No internet service,No internet service,Two year,No
103,66,3027.25,No,Yes,No,One year,No
5430,10,794.25,No,No,No,Month-to-month,Yes
4258,43,4830.25,Yes,No,Yes,One year,Yes
4241,22,1422.05,Yes,Yes,No,Month-to-month,Yes
3795,12,912.0,No,No,No,Month-to-month,No
5386,10,436.2,No,No,No,Month-to-month,No
1752,27,1421.75,Yes,No,No,One year,No
6286,8,163.6,No internet service,No internet service,No internet service,Month-to-month,No
6688,12,224.5,No internet service,No internet service,No internet service,Two year,No
2899,71,3888.65,Yes,Yes,Yes,Two year,No
1658,50,5341.8,Yes,No,No,Month-to-month,Yes
152,70,7930.55,Yes,Yes,No,One year,No
4102,7,333.65,No,No,No,Month-to-month,No
2483,46,4541.2,Yes,Yes,No,Month-to-month,Yes
1583,6,273.25,No,No,No,Month-to-month,No
5923,6,487.05,No,No,Yes,Month-to-month,No
2552,47,1250.85,No internet service,No internet service,No internet service,One year,No
6990,36,3366.05,Yes,No,No,Month-to-month,No
4624,8,740.3,No,No,No,Month-to-month,Yes
3583,40,2448.5,No,Yes,Yes,One year,No
5166,61,6363.45,Yes,No,No,One year,No
2941,72,7114.25,Yes,Yes,No,Two year,No
6147,39,3877.95,Yes,Yes,No,One year,No
2209,8,161.15,No internet service,No internet service,No internet service,Month-to-month,No
4326,1,89.1,No,No,No,Month-to-month,Yes
4233,33,2016.3,Yes,No,Yes,Two year,No
1822,31,2697.4,No,No,No,Month-to-month,Yes
5428,9,853.1,No,No,No,Month-to-month,Yes
3935,70,1328.35,No internet service,No internet service,No internet service,Two year,No
4220,55,1026.35,No internet service,No internet service,No internet service,One year,No
4454,4,93.4,No internet service,No internet service,No internet service,Month-to-month,No
309,48,3682.45,Yes,No,No,One year,No
212,61,1124.2,No internet service,No internet service,No internet service,Two year,No
3497,2,153.8,No,No,No,Month-to-month,No
4213,6,288.05,No,No,Yes,Month-to-month,Yes
5880,3,79.45,No,Yes,No,Month-to-month,Yes
495,22,903.6,No,Yes,No,One year,Yes
205,33,2684.85,No,Yes,Yes,One year,No
1434,12,1132.75,No,No,Yes,Month-to-month,Yes
1135,72,8333.95,Yes,Yes,Yes,Two year,No
2584,58,3791.6,Yes,Yes,No,Month-to-month,No
868,59,5084.65,No,No,No,One year,Yes
2749,34,2753.8,No,No,No,One year,No
305,52,1229.1,No internet service,No internet service,No internet service,Two year,No
1849,10,402.6,No,No,No,Month-to-month,Yes
3121,16,1023.9,No,No,Yes,Month-to-month,Yes
1988,58,6287.25,Yes,Yes,No,One year,Yes
2798,10,1048.85,No,No,No,Month-to-month,Yes
6889,3,244.45,No,No,Yes,Month-to-month,No
1534,69,1436.95,No internet service,No internet service,No internet service,Two year,No
843,13,394.1,Yes,No,No,Month-to-month,No
1987,25,2257.75,No,Yes,No,Month-to-month,Yes
5629,1,20.05,No internet service,No internet service,No internet service,Month-to-month,Yes
4725,1,62.05,No,No,Yes,Month-to-month,Yes
